0|smarts|desc
Bischler-Napieralski|[$(C([CH2,CH3])),CH:10](=[O:11])-[NH+0:9]-[C$(C(N)(C)(C)(C)),C$([CH](N)(C)(C)),C$([CH2](N)(C)):8]-[C$(C(c)(C)(C)(C)),C$([CH](c)(C)(C)),C$([CH2](c)(C)):7]-[c:6]1[cH:1][c:2][c:3][c:4][c:5]1>>[C:10]-1=[N+0:9]-[C:8]-[C:7]-[c:6]2[c:5][c:4][c:3][c:2][c:1]-12|DINGOS Reaction
Pictet-Gams|[$(C([CH2,CH3])),CH:10](=[O:11])-[NH+0:9]-[C$([CH](N)(C)(C)),C$([CH2](N)(C)):8]-[C$([C](c)(C)(C)),C$([CH](c)(C)):7]([O$(OC),OH])-[c:6]1[cH:1][c:2][c:3][c:4][c:5]1>>[c:10]-1[n:9][c:8][c:7][c:6]2[c:5][c:4][c:3][c:2][c:1]-12|DINGOS Reaction
Pictet-Spengler-6-membered-ring|[NH3+,NH2]-[C$(C(N)(C)(C)(C)),C$([CH](N)(C)(C)),C$([CH2](N)(C)):8]-[C$(C(c)(C)(C)(C)),C$([CH](c)(C)(C)),C$([CH2](c)(C)):7]-[c:6]1[c:1][c:2][c:3][c:4][cH:5]1.[CH:10](-[CX4:12])=[O:11]>>[c,C:12]-[CH:10]-1-[N]-[C:8]-[C:7]-[c:6]2[c:1][c:2][c:3][c:4][c:5]-12|DINGOS Reaction
Pictet-Spengler-5-membered-ring|[NH3+,NH2]-[C$(C(N)(C)(C)(C)),C$([CH](N)(C)(C)),C$([CH2](N)(C)):8]-[C$(C(c)(C)(C)(C)),C$([CH](c)(C)(C)),C$([CH2](c)(C)):7]-[c:6]1[c:1][c:2][nH:3][cH:5]1.[CH:10](-[CX4:12])=[O:11]>>[c,C:12]-[CH:10]-1-[N]-[C:8]-[C:7]-[c:6]2[c:1][c:2][nH:3][c:5]-12|DINGOS Reaction
Bischler-Indole|[NH2,NH3+1:8]-[c:5]1[cH:4][c:3][c:2][c:1][c:6]1.[Br:18][C$([CH2](C)(Br)),C$([CH](C)(C)(Br)):17]-[C:15](=[O:16])-[c:10]1[c:11][c:12][c:13][c:14][c:9]1>>[c:13]1[c:12][c:11][c:10]([c:9][c:14]1)-[c:15]1[c:17][c:4]2[c:3][c:2][c:1][c:6][c:5]2[nH+0:8]1|DINGOS Reaction
Benzimidazol_formation|[OH,O-]-[C$(C([CX4])),C$([CH]):2]=[O:3].[NH2,NH3+:12]-[c:9]1[c:8][c:7][c:6][c:5][c:10]1-[N$([NH](c)([CX4])),N$([NH2,NH3+1](c)):11]>>[c:2]1[n+0:12][c:9]2[c:8][c:7][c:6][c:5][c:10]2[n:11]1|DINGOS Reaction
Aminothiazol_formation|[C$([CH]([Br,Cl,I])(C)([CX4])),C$([CH2]([Br,Cl,I])(c)),C$([CH2]([Br,Cl,I])(C)):1](-[Br,Cl,I:3])-[C$(C(C)([c,C])),C$([CH](C)):2]=[O:4]>[NH2:8]-[C:7](-[NH2:9])=[S:10]>[NH2+0:8]-[c:7]1[n:9][c:1][c:2][s:10]1|DINGOS Reaction
Benzoxazol_formation|[OH,O-]-[C$(C([CX4])),C$([CH]):2]=[O:3].[NH2,NH3+:12]-[c:9]1[c:8][c:7][c:6][c:5][c:10]1-[OH:11]>>[c:2]1[o+0:12][c:9]2[c:8][c:7][c:6][c:5][c:10]2[n:11]1|DINGOS Reaction
Rap-Stoermer|[Cl:1][CH2:2]-[C$([CH](C)),C$(C(C)(C)):3]=[O:4].[OH:12]-[c:11]1[c:6][c:7][c:8][c:9][c:10]1-[CH:13]=[O:14]>>[C:3](=[O:4])-[c:2]1[c:13][c:10]2[c:9][c:8][c:7][c:6][c:11]2[o:12]1|DINGOS Reaction
Niementowski|[N$([NH](C)([CX4])),N$([NH2,NH3+1](C)):2]-[C$(C(N)(C)),C$([CH](N)):1]=[O:3].[NH2,NH3+1:13]-[c:8]1[c:7][c:6][c:5][c:4][c:9]1-[C:10](-[OH,O-:12])=[O:11]>>[O:11]=[c:10]-1[n:2][c:1][n:13][c:8]2[c:7][c:6][c:5][c:4][c:9]-12|DINGOS Reaction
